Season,Team,Matches,Points,Wins,Draws,Losses,Goals_For,Goals_Against,Shots_For,Shots_Against,Shots_Target_For,Shots_Target_Against,Corners_For,Corners_Against,Fouls,Yellow_Cards,Red_Cards,Clean_Sheets,Goals_For_Per_Match,Goals_Against_Per_Match,Shots_For_Per_Match,Shots_Against_Per_Match,Shots_Target_For_Per_Match,Shots_Target_Against_Per_Match,Corners_For_Per_Match,Corners_Against_Per_Match,Fouls_Per_Match,Yellow_Cards_Per_Match,Red_Cards_Per_Match,Clean_Sheets_Per_Match,Goal_Difference,Goal_Difference_Per_Match,Shot_Conversion_Rate,Points_Per_Match,League_Rank,Goals_For_Per_Match_Norm,Shots_For_Per_Match_Norm,Shots_Target_For_Per_Match_Norm,Corners_For_Per_Match_Norm,Shot_Conversion_Rate_Norm,Clean_Sheets_Per_Match_Norm,Goals_Against_Per_Match_Norm,Shots_Against_Per_Match_Norm,Shots_Target_Against_Per_Match_Norm,Fouls_Per_Match_Norm,Yellow_Cards_Per_Match_Norm,Red_Cards_Per_Match_Norm,Attack_Index,Defence_Index,Discipline_Index,Composite_Index,Composite_Rank,Cluster
2021_22,Man City,38,93,29,6,3,99,26,715,237,254,88,317,108,320,42,1,21,2.6052631578947367,0.6842105263157895,18.81578947368421,6.2368421052631575,6.684210526315789,2.3157894736842106,8.342105263157896,2.8421052631578947,8.421052631578947,1.105263157894737,0.0263157894736842,0.5526315789473685,73,1.9210526315789476,0.1384615384615384,2.4473684210526314,1,1.0,0.9578651685393258,0.9863945578231292,1.0,0.9498071525682844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.978813375786148,1.0,1.0,0.9915253503144592,1,2
2020_21,Man City,38,86,27,5,6,83,32,604,285,219,100,247,112,361,46,2,19,2.1842105263157894,0.8421052631578947,15.894736842105264,7.5,5.7631578947368425,2.631578947368421,6.5,2.9473684210526314,9.5,1.2105263157894737,0.0526315789473684,0.5,51,1.3421052631578947,0.1374172185430463,2.263157894736842,1,1.0,0.9858657243816256,1.0,0.8869565217391304,0.8290820403274167,1.0,1.0,1.0,1.0,0.8848920863309353,0.8181818181818181,0.6666666666666667,0.9403808572896344,1.0,0.7899135237264735,0.9341350476611486,1,2
2022_23,Man City,38,89,28,5,5,94,33,603,293,219,96,240,97,347,43,1,13,2.473684210526316,0.868421052631579,15.86842105263158,7.7105263157894735,5.7631578947368425,2.526315789473684,6.315789473684211,2.5526315789473686,9.13157894736842,1.131578947368421,0.0263157894736842,0.3421052631578947,61,1.605263157894737,0.1558872305140962,2.3421052631578947,1,1.0,0.9649805447470816,0.8938053097345136,0.7887323943661971,1.0,0.6923076923076923,1.0,1.0,1.0,1.0,1.0,0.8,0.9295036497695583,0.9230769230769232,0.9333333333333332,0.9276988958052592,1,2
2021_22,Liverpool,38,92,28,8,2,94,26,730,296,256,110,285,117,363,50,1,21,2.473684210526316,0.6842105263157895,19.210526315789476,7.7894736842105265,6.7368421052631575,2.8947368421052637,7.5,3.0789473684210527,9.552631578947368,1.3157894736842106,0.0263157894736842,0.5526315789473685,68,1.7894736842105263,0.1287671232876712,2.421052631578948,2,0.9342105263157896,1.0,1.0,0.7974683544303796,0.8301694066351538,1.0,1.0,0.8502538071065989,0.8461538461538461,0.7114093959731544,0.8620689655172413,1.0,0.9123696574762644,0.9241019133151112,0.8578261204967985,0.90615385241591,2,2
2023_24,Man City,38,91,28,7,3,96,34,690,294,278,111,282,133,287,51,2,13,2.526315789473684,0.8947368421052632,18.157894736842103,7.736842105263157,7.315789473684211,2.921052631578948,7.421052631578948,3.5,7.552631578947368,1.3421052631578947,0.0526315789473684,0.3421052631578947,62,1.631578947368421,0.1391304347826087,2.3947368421052637,1,1.0,0.7630331753554502,1.0,0.9655172413793104,0.7991954818126439,0.7058823529411765,0.9333333333333332,1.0,0.868131868131868,1.0,1.0,0.7142857142857143,0.905549179709481,0.8768368886015945,0.9047619047619048,0.8939068082768112,1,2
2024_25,Man City,38,71,21,8,9,72,44,607,355,217,132,253,124,287,57,2,13,1.894736842105263,1.1578947368421053,15.973684210526317,9.342105263157896,5.7105263157894735,3.473684210526316,6.657894736842105,3.263157894736842,7.552631578947368,1.5,0.0526315789473684,0.3421052631578947,28,0.7368421052631579,0.1186161449752883,1.868421052631579,3,0.7666666666666665,0.8690095846645365,0.8833333333333334,1.0,0.5796843839417324,0.9166666666666669,0.8076923076923076,1.0,0.9117647058823528,1.0,1.0,0.6666666666666667,0.8197387937212538,0.9090309200603316,0.888888888888889,0.869285663290412,1,2
2024_25,Liverpool,38,84,25,9,4,86,41,648,387,231,141,253,141,430,64,3,14,2.263157894736842,1.0789473684210529,17.05263157894737,10.18421052631579,6.078947368421052,3.710526315789474,6.657894736842105,3.710526315789474,11.31578947368421,1.6842105263157894,0.0789473684210526,0.3684210526315789,45,1.1842105263157894,0.132716049382716,2.210526315789474,1,1.0,1.0,1.0,1.0,0.7705896686159844,1.0,0.8653846153846154,0.9021406727828748,0.8455882352941175,0.3700440528634362,0.8292682926829269,0.5,0.9541179337231968,0.903278380865402,0.5664374485154543,0.8562460155385305,2,2
2023_24,Arsenal,38,89,28,5,5,91,29,657,322,227,87,256,113,391,62,2,18,2.3947368421052637,0.7631578947368421,17.289473684210527,8.473684210526315,5.973684210526316,2.289473684210526,6.7368421052631575,2.973684210526316,10.289473684210526,1.631578947368421,0.0526315789473684,0.4736842105263157,62,1.631578947368421,0.1385083713850837,2.3421052631578947,2,0.918032786885246,0.6848341232227488,0.6577181208053692,0.786206896551724,0.7909419665173512,1.0,1.0,0.9270833333333334,1.0,0.5251141552511416,0.7924528301886793,0.7142857142857143,0.7675467787964878,0.9817708333333334,0.6772842332418451,0.8351838915002976,2,2
2022_23,Arsenal,38,84,26,6,6,88,43,593,341,204,136,223,141,373,51,0,14,2.3157894736842106,1.131578947368421,15.605263157894736,8.973684210526315,5.368421052631579,3.5789473684210527,5.868421052631579,3.710526315789474,9.81578947368421,1.3421052631578947,0.0,0.3684210526315789,45,1.1842105263157894,0.148397976391231,2.210526315789474,2,0.9047619047619048,0.9260700389105058,0.7610619469026549,0.6690140845070421,0.907341827338456,0.7692307692307692,0.7777777777777779,0.8558558558558559,0.6363636363636364,0.7758620689655172,0.8048780487804879,1.0,0.8336499604841127,0.7598070098070098,0.860246705915335,0.809432129299516,2,2
2020_21,Liverpool,38,69,20,9,9,68,42,608,333,214,144,260,122,396,40,0,12,1.7894736842105263,1.105263157894737,16.0,8.763157894736842,5.631578947368421,3.789473684210526,6.842105263157895,3.210526315789474,10.421052631578949,1.0526315789473684,0.0,0.3157894736842105,26,0.6842105263157895,0.1118421052631579,1.8157894736842104,3,0.7619047619047619,1.0,0.9583333333333331,1.0,0.5512945247777403,0.4999999999999999,0.7727272727272726,0.8471337579617834,0.6986301369863015,0.6330935251798563,1.0,1.0,0.854306524003167,0.7046227919188394,0.8776978417266187,0.7991112947141263,2,2
