Season,Team,Matches,Points,Wins,Draws,Losses,Goals_For,Goals_Against,Shots_For,Shots_Against,Shots_Target_For,Shots_Target_Against,Corners_For,Corners_Against,Fouls,Yellow_Cards,Red_Cards,Clean_Sheets,Goals_For_Per_Match,Goals_Against_Per_Match,Shots_For_Per_Match,Shots_Against_Per_Match,Shots_Target_For_Per_Match,Shots_Target_Against_Per_Match,Corners_For_Per_Match,Corners_Against_Per_Match,Fouls_Per_Match,Yellow_Cards_Per_Match,Red_Cards_Per_Match,Clean_Sheets_Per_Match,Goal_Difference,Goal_Difference_Per_Match,Shot_Conversion_Rate,Points_Per_Match,League_Rank,Goals_For_Per_Match_Norm,Shots_For_Per_Match_Norm,Shots_Target_For_Per_Match_Norm,Corners_For_Per_Match_Norm,Shot_Conversion_Rate_Norm,Clean_Sheets_Per_Match_Norm,Goals_Against_Per_Match_Norm,Shots_Against_Per_Match_Norm,Shots_Target_Against_Per_Match_Norm,Fouls_Per_Match_Norm,Yellow_Cards_Per_Match_Norm,Red_Cards_Per_Match_Norm,Attack_Index,Defence_Index,Discipline_Index,Composite_Index,Composite_Rank,Cluster
2020_21,Arsenal,38,61,18,7,13,55,39,459,416,152,132,208,166,345,47,5,12,1.4473684210526316,1.0263157894736843,12.078947368421053,10.947368421052632,4.0,3.473684210526316,5.473684210526316,4.368421052631579,9.078947368421053,1.236842105263158,0.13157894736842105,0.3157894736842105,16,0.42105263157894735,0.11982570806100218,1.605263157894737,8,0.5555555555555556,0.4734982332155478,0.44166666666666665,0.5478260869565218,0.6380094949942194,0.49999999999999994,0.8409090909090908,0.5828025477707006,0.7808219178082192,1.0,0.7878787878787877,0.16666666666666663,0.5313112074777022,0.6761333891220027,0.6515151515151514,0.6132808689429122,6,1
2020_21,Aston Villa,38,55,16,7,15,55,46,511,538,187,189,215,194,439,63,3,15,1.4473684210526316,1.2105263157894737,13.447368421052632,14.157894736842104,4.921052631578948,4.973684210526316,5.657894736842105,5.105263157894737,11.552631578947368,1.6578947368421053,0.07894736842105263,0.39473684210526316,9,0.23684210526315788,0.10763209393346379,1.4473684210526316,11,0.5555555555555556,0.657243816254417,0.7333333333333334,0.6086956521739131,0.5055669233038744,0.7142857142857143,0.6818181818181819,0.19426751592356706,0.3904109589041096,0.3237410071942447,0.303030303030303,0.5,0.6120790561242186,0.49519559273289326,0.3755904367415159,0.518027946891148,11,1
2020_21,Brighton,38,41,9,14,15,40,46,487,358,143,127,219,167,427,45,6,12,1.0526315789473684,1.2105263157894737,12.81578947368421,9.421052631578947,3.763157894736842,3.3421052631578947,5.7631578947368425,4.394736842105263,11.236842105263158,1.1842105263157894,0.15789473684210525,0.3157894736842105,-6,-0.15789473684210525,0.08213552361396304,1.0789473684210527,16,0.31746031746031744,0.5724381625441697,0.36666666666666664,0.6434782608695654,0.22863251262967782,0.49999999999999994,0.6818181818181819,0.767515923566879,0.815068493150685,0.4100719424460433,0.8484848484848485,0.0,0.4257351840340794,0.6911006496339365,0.4195189303102973,0.5306381195292659,10,1
2020_21,Burnley,38,39,10,9,19,33,55,384,573,130,187,172,239,384,48,0,11,0.868421052631579,1.4473684210526316,10.105263157894736,15.078947368421053,3.4210526315789473,4.921052631578948,4.526315789473684,6.2894736842105265,10.105263157894736,1.263157894736842,0.0,0.2894736842105263,-22,-0.5789473684210527,0.0859375,1.0263157894736843,17,0.2063492063492064,0.2084805653710247,0.2583333333333333,0.2347826086956521,0.26992818795660845,0.4285714285714286,0.4772727272727272,0.08280254777070062,0.40410958904109584,0.7194244604316549,0.7575757575757576,1.0,0.23557478034116497,0.34818907316398806,0.8256667393358041,0.39863888926922203,15,1
2020_21,Chelsea,38,67,19,10,9,58,36,558,336,209,109,227,160,433,48,3,18,1.5263157894736843,0.9473684210526315,14.68421052631579,8.842105263157896,5.5,2.8684210526315788,5.973684210526316,4.2105263157894735,11.394736842105264,1.263157894736842,0.07894736842105263,0.47368421052631576,22,0.5789473684210527,0.1039426523297491,1.763157894736842,4,0.6031746031746031,0.823321554770318,0.9166666666666665,0.7130434782608697,0.46549355957541527,0.9285714285714284,0.9090909090909091,0.8375796178343948,0.9383561643835617,0.3669064748201437,0.7575757575757576,0.5,0.7043399724895745,0.9033995299700734,0.5414940774653004,0.7513946164769193,3,2
2020_21,Crystal Palace,38,44,12,8,18,41,66,349,536,131,177,151,230,409,54,2,8,1.0789473684210527,1.736842105263158,9.18421052631579,14.105263157894736,3.4473684210526314,4.657894736842105,3.973684210526316,6.052631578947368,10.763157894736842,1.4210526315789473,0.05263157894736842,0.21052631578947367,-25,-0.6578947368421053,0.1174785100286533,1.1578947368421053,14,0.33333333333333337,0.08480565371024737,0.2666666666666666,0.05217391304347828,0.612515089445603,0.21428571428571425,0.22727272727272718,0.2006369426751593,0.4726027397260274,0.539568345323741,0.5757575757575757,0.6666666666666667,0.26989893123986575,0.278699530989907,0.5939975292493278,0.3382388907417747,16,0
2020_21,Everton,38,59,17,8,13,47,48,400,504,148,163,167,227,386,58,2,12,1.236842105263158,1.263157894736842,10.526315789473685,13.263157894736842,3.8947368421052633,4.2894736842105265,4.394736842105263,5.973684210526316,10.157894736842104,1.5263157894736843,0.05263157894736842,0.3157894736842105,-1,-0.02631578947368421,0.1175,1.5526315789473684,10,0.4285714285714286,0.2650176678445231,0.4083333333333333,0.19130434782608682,0.6127485056453399,0.49999999999999994,0.6363636363636365,0.3025477707006369,0.5684931506849316,0.7050359712230219,0.45454545454545436,0.6666666666666667,0.3811950566441423,0.5018511394373012,0.6087493641450477,0.474968351261587,13,1
2020_21,Fulham,38,28,5,13,20,27,53,442,429,136,173,164,192,484,66,3,9,0.7105263157894737,1.394736842105263,11.631578947368421,11.289473684210526,3.5789473684210527,4.552631578947368,4.315789473684211,5.052631578947368,12.736842105263158,1.736842105263158,0.07894736842105263,0.23684210526315788,-26,-0.6842105263157895,0.06108597285067873,0.7368421052631579,18,0.11111111111111112,0.4134275618374559,0.30833333333333335,0.16521739130434784,0.0,0.2857142857142857,0.5227272727272728,0.5414012738853504,0.5000000000000001,0.0,0.21212121212121204,0.5,0.19961787951724966,0.46246070808172723,0.23737373737373735,0.3123061825143383,18,0
2020_21,Leeds,38,59,18,5,15,62,54,522,558,199,201,231,212,427,61,1,12,1.631578947368421,1.4210526315789473,13.736842105263158,14.68421052631579,5.2368421052631575,5.2894736842105265,6.078947368421052,5.578947368421052,11.236842105263158,1.605263157894737,0.02631578947368421,0.3157894736842105,8,0.21052631578947367,0.11877394636015326,1.5526315789473684,9,0.6666666666666666,0.696113074204947,0.8333333333333331,0.7478260869565216,0.6265856445255346,0.49999999999999994,0.5,0.1305732484076434,0.3082191780821918,0.4100719424460433,0.3636363636363634,0.8333333333333334,0.7141049611374006,0.35969810662245877,0.5356805464719133,0.5366573363983265,9,1
2020_21,Leicester,38,66,20,6,12,68,50,484,369,185,139,214,181,416,60,0,11,1.7894736842105263,1.3157894736842106,12.736842105263158,9.710526315789474,4.868421052631579,3.6578947368421053,5.631578947368421,4.7631578947368425,10.947368421052632,1.5789473684210527,0.0,0.2894736842105263,18,0.47368421052631576,0.14049586776859505,1.736842105263158,5,0.7619047619047619,0.5618374558303887,0.7166666666666666,0.6000000000000001,0.8625212008994488,0.4285714285714286,0.5909090909090908,0.732484076433121,0.7328767123287672,0.48920863309352514,0.3939393939393939,1.0,0.7005860170602531,0.621210327060602,0.627716009010973,0.6542617394505367,4,2
2020_21,Liverpool,38,69,20,9,9,68,42,608,333,214,144,260,122,396,40,0,12,1.7894736842105263,1.105263157894737,16.0,8.763157894736842,5.631578947368421,3.789473684210526,6.842105263157895,3.210526315789474,10.421052631578947,1.0526315789473684,0.0,0.3157894736842105,26,0.6842105263157895,0.1118421052631579,1.8157894736842106,3,0.7619047619047619,1.0,0.9583333333333333,1.0,0.5512945247777403,0.49999999999999994,0.7727272727272726,0.8471337579617834,0.6986301369863015,0.6330935251798563,1.0,1.0,0.854306524003167,0.7046227919188394,0.8776978417266187,0.7991112947141263,2,2
2020_21,Man City,38,86,27,5,6,83,32,604,285,219,100,247,112,361,46,2,19,2.1842105263157894,0.8421052631578947,15.894736842105264,7.5,5.7631578947368425,2.6315789473684212,6.5,2.9473684210526314,9.5,1.2105263157894737,0.05263157894736842,0.5,51,1.3421052631578947,0.13741721854304637,2.263157894736842,1,1.0,0.9858657243816256,1.0,0.8869565217391304,0.8290820403274167,1.0,1.0,1.0,1.0,0.8848920863309353,0.8181818181818181,0.6666666666666667,0.9403808572896345,1.0,0.7899135237264735,0.9341350476611486,1,2
2020_21,Man United,38,74,21,11,6,73,44,521,418,212,140,197,163,452,64,1,13,1.9210526315789473,1.1578947368421053,13.710526315789474,11.0,5.578947368421052,3.6842105263157894,5.184210526315789,4.2894736842105265,11.894736842105264,1.6842105263157894,0.02631578947368421,0.34210526315789475,29,0.7631578947368421,0.1401151631477927,1.9473684210526316,2,0.8412698412698413,0.6925795053003535,0.9416666666666664,0.4521739130434782,0.858386126711757,0.5714285714285714,0.7272727272727272,0.5764331210191083,0.726027397260274,0.2302158273381293,0.2727272727272728,0.8333333333333334,0.7572152105984193,0.6502904542451702,0.4454254777995785,0.6520873614973516,5,2
2020_21,Newcastle,38,45,12,9,17,46,62,397,572,142,193,161,229,388,61,3,7,1.2105263157894737,1.631578947368421,10.447368421052632,15.052631578947368,3.736842105263158,5.078947368421052,4.2368421052631575,6.026315789473684,10.210526315789474,1.605263157894737,0.07894736842105263,0.18421052631578946,-16,-0.42105263157894735,0.11586901763224182,1.1842105263157894,12,0.4126984126984127,0.25441696113074214,0.35833333333333334,0.13913043478260856,0.5950333723872147,0.14285714285714285,0.31818181818181823,0.08598726114649691,0.3630136986301371,0.6906474820143884,0.3636363636363634,0.5,0.3519225028664623,0.2275099802038988,0.5180946152169174,0.3353919162715279,17,0
2020_21,Sheffield United,38,23,7,2,29,20,63,325,542,99,212,171,243,459,73,3,5,0.5263157894736842,1.6578947368421053,8.552631578947368,14.263157894736842,2.6052631578947367,5.578947368421052,4.5,6.394736842105263,12.078947368421053,1.9210526315789473,0.07894736842105263,0.13157894736842105,-43,-1.131578947368421,0.06153846153846154,0.6052631578947368,20,0.0,0.0,0.0,0.2260869565217391,0.00491476643790132,0.0,0.2954545454545454,0.18152866242038213,0.23287671232876728,0.17985611510791344,0.0,0.5,0.04620034459192808,0.1774649800509237,0.22661870503597115,0.13478987086433494,20,0
